Number;Name;Type;Type2;Total;HP;Atk;Def;SpA;SpD;Speed
 001;Bulbasaur;Grass;Poison;318;45;49;49;65;65;45
 002;Ivysaur;Grass;Poison;405;60;62;63;80;80;60
 003;Venusaur;Grass;Poison;525;80;82;83;100;100;80
 004;Charmander;Fire;;309;39;52;43;60;50;65
 005;Charmeleon;Fire;;405;58;64;58;80;65;80
 006;Charizard;Fire;Flying;534;78;84;78;109;85;100
 007;Squirtle;Water;;314;44;48;65;50;64;43
 008;Wartortle;Water;;405;59;63;80;65;80;58
 009;Blastoise;Water;;530;79;83;100;85;105;78
 010;Caterpie;Bug;;195;45;30;35;20;20;45
 011;Metapod;Bug;;205;50;20;55;25;25;30
 012;Butterfree;Bug;Flying;395;60;45;50;90;80;70
 013;Weedle;Bug;Poison;195;40;35;30;20;20;50
 014;Kakuna;Bug;Poison;205;45;25;50;25;25;35
 015;Beedrill;Bug;Poison;395;65;90;40;45;80;75
 016;Pidgey;Normal;Flying;251;40;45;40;35;35;56
 017;Pidgeotto;Normal;Flying;349;63;60;55;50;50;71
 018;Pidgeot;Normal;Flying;479;83;80;75;70;70;101
 019;Rattata;Normal;;253;30;56;35;25;35;72
 020;Raticate;Normal;;413;55;81;60;50;70;97
 021;Spearow;Normal;Flying;262;40;60;30;31;31;70
 022;Fearow;Normal;Flying;442;65;90;65;61;61;100
 023;Ekans;Poison;;288;35;60;44;40;54;55
 024;Arbok;Poison;;438;60;85;69;65;79;80
 025;Pikachu;Electric;;320;35;55;40;50;50;90
 026;Raichu;Electric;;485;60;90;55;90;80;110
 027;Sandshrew;Ground;;300;50;75;85;20;30;40
 028;Sandslash;Ground;;450;75;100;110;45;55;65
 029;Nidoran♀;Poison;;275;55;47;52;40;40;41
 030;Nidorina;Poison;;365;70;62;67;55;55;56
 031;Nidoqueen;Poison;Ground;505;90;92;87;75;85;76
 032;Nidoran♂;Poison;;273;46;57;40;40;40;50
 033;Nidorino;Poison;;365;61;72;57;55;55;65
 034;Nidoking;Poison;Ground;505;81;102;77;85;75;85
 035;Clefairy;Fairy;;323;70;45;48;60;65;35
 036;Clefable;Fairy;;483;95;70;73;95;90;60
 037;Vulpix;Fire;;299;38;41;40;50;65;65
 038;Ninetales;Fire;;505;73;76;75;81;100;100
 039;Jigglypuff;Normal;Fairy;270;115;45;20;45;25;20
 040;Wigglytuff;Normal;Fairy;435;140;70;45;85;50;45
 041;Zubat;Poison;Flying;245;40;45;35;30;40;55
 042;Golbat;Poison;Flying;455;75;80;70;65;75;90
 043;Oddish;Grass;Poison;320;45;50;55;75;65;30
 044;Gloom;Grass;Poison;395;60;65;70;85;75;40
 045;Vileplume;Grass;Poison;490;75;80;85;110;90;50
 046;Paras;Bug;Grass;285;35;70;55;45;55;25
 047;Parasect;Bug;Grass;405;60;95;80;60;80;30
 048;Venonat;Bug;Poison;305;60;55;50;40;55;45
 049;Venomoth;Bug;Poison;450;70;65;60;90;75;90
 050;Diglett;Ground;;265;10;55;25;35;45;95
 051;Dugtrio;Ground;;405;35;80;50;50;70;120
 052;Meowth;Normal;;290;40;45;35;40;40;90
 053;Persian;Normal;;440;65;70;60;65;65;115
 054;Psyduck;Water;;320;50;52;48;65;50;55
 055;Golduck;Water;;500;80;82;78;95;80;85
 056;Mankey;Fighting;;305;40;80;35;35;45;70
 057;Primeape;Fighting;;455;65;105;60;60;70;95
 058;Growlithe;Fire;;350;55;70;45;70;50;60
 059;Arcanine;Fire;;555;90;110;80;100;80;95
 060;Poliwag;Water;;300;40;50;40;40;40;90
 061;Poliwhirl;Water;;385;65;65;65;50;50;90
 062;Poliwrath;Water;Fighting;510;90;95;95;70;90;70
 063;Abra;Psychic;;310;25;20;15;105;55;90
 064;Kadabra;Psychic;;400;40;35;30;120;70;105
 065;Alakazam;Psychic;;500;55;50;45;135;95;120
 066;Machop;Fighting;;305;70;80;50;35;35;35
 067;Machoke;Fighting;;405;80;100;70;50;60;45
 068;Machamp;Fighting;;505;90;130;80;65;85;55
 069;Bellsprout;Grass;Poison;300;50;75;35;70;30;40
 070;Weepinbell;Grass;Poison;390;65;90;50;85;45;55
 071;Victreebel;Grass;Poison;490;80;105;65;100;70;70
 072;Tentacool;Water;Poison;335;40;40;35;50;100;70
 073;Tentacruel;Water;Poison;515;80;70;65;80;120;100
 074;Geodude;Rock;Ground;300;40;80;100;30;30;20
 075;Graveler;Rock;Ground;390;55;95;115;45;45;35
 076;Golem;Rock;Ground;495;80;120;130;55;65;45
 077;Ponyta;Fire;;410;50;85;55;65;65;90
 078;Rapidash;Fire;;500;65;100;70;80;80;105
 079;Slowpoke;Water;Psychic;315;90;65;65;40;40;15
 080;Slowbro;Water;Psychic;490;95;75;110;100;80;30
 081;Magnemite;Electric;Steel;325;25;35;70;95;55;45
 082;Magneton;Electric;Steel;465;50;60;95;120;70;70
 083;Farfetch'd;Normal;Flying;352;52;65;55;58;62;60
 084;Doduo;Normal;Flying;310;35;85;45;35;35;75
 085;Dodrio;Normal;Flying;460;60;110;70;60;60;100
 086;Seel;Water;;325;65;45;55;45;70;45
 087;Dewgong;Water;Ice;475;90;70;80;70;95;70
 088;Grimer;Poison;;325;80;80;50;40;50;25
 089;Muk;Poison;;500;105;105;75;65;100;50
 090;Shellder;Water;;305;30;65;100;45;25;40
 091;Cloyster;Water;Ice;525;50;95;180;85;45;70
 092;Gastly;Ghost;Poison;310;30;35;30;100;35;80
 093;Haunter;Ghost;Poison;405;45;50;45;115;55;95
 094;Gengar;Ghost;Poison;500;60;65;60;130;75;110
 095;Onix;Rock;Ground;385;35;45;160;30;45;70
 096;Drowzee;Psychic;;328;60;48;45;43;90;42
 097;Hypno;Psychic;;483;85;73;70;73;115;67
 098;Krabby;Water;;325;30;105;90;25;25;50
 099;Kingler;Water;;475;55;130;115;50;50;75
 100;Voltorb;Electric;;330;40;30;50;55;55;100
 101;Electrode;Electric;;480;60;50;70;80;80;140
 102;Exeggcute;Grass;Psychic;325;60;40;80;60;45;40
 103;Exeggutor;Grass;Psychic;520;95;95;85;125;65;55
 104;Cubone;Ground;;320;50;50;95;40;50;35
 105;Marowak;Ground;;425;60;80;110;50;80;45
 106;Hitmonlee;Fighting;;455;50;120;53;35;110;87
 107;Hitmonchan;Fighting;;455;50;105;79;35;110;76
 108;Lickitung;Normal;;385;90;55;75;60;75;30
 109;Koffing;Poison;;340;40;65;95;60;45;35
 110;Weezing;Poison;;490;65;90;120;85;70;60
 111;Rhyhorn;Ground;Rock;345;80;85;95;30;30;25
 112;Rhydon;Ground;Rock;485;105;130;120;45;45;40
 113;Chansey;Normal;;450;250;5;5;35;105;50
 114;Tangela;Grass;;435;65;55;115;100;40;60
 115;Kangaskhan;Normal;;490;105;95;80;40;80;90
 116;Horsea;Water;;295;30;40;70;70;25;60
 117;Seadra;Water;;440;55;65;95;95;45;85
 118;Goldeen;Water;;320;45;67;60;35;50;63
 119;Seaking;Water;;450;80;92;65;65;80;68
